id,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
TH,6304,6916,5828,5298,6915,7047,8850,6467,7705,9334,7886,6602,10191,9569,7993,10941,8903,17074,26175,26660,25422,23845,22323,22380,30087,30046,25384,43967,75907,102325,149629,130335,158251,136840,158489,231867,285943,271650,205395,31076
HA,96,595,692,831,1058,628,547,3638,3278,4514,927,2388,6584,3239,10269,22680,6812,5851,5384,4444,5467,9394,14293,11669,12156,35056,8601,7550,8157,16180,18533,122719,42245,33278,34464,41432,60056,74675,52068,21404
IT,3781,7503,10214,13740,12855,12344,16387,14422,11265,10184,7888,6667,10868,8001,11078,14833,13251,23210,39966,52106,48669,38176,45781,36129,45947,40449,38560,53894,93110,90615,192191,143480,242138,228405,267238,289608,454926,512031,410648,51512
GJ,296,264,499,597,5069,1911,1147,862,918,364,424,368,243,145,196,383,323,554,700,1181,797,930,934,982,1688,2273,1286,2562,5504,10511,22210,22547,34558,21886,2851,3701,10544,12827,12519,1452
LU,166,303,137,246,157,225,617,401,295,226,242,334,1233,216,276,532,655,1246,3836,2578,1977,1820,1689,1635,2044,1711,3533,2334,4051,4918,8454,6628,10185,10318,10561,22421,34386,28141,24293,2801
IM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,56,3,5,5,3,6,0,1,132,100,89,170,223,233,281,109,309,587,643,869,107
CJ,3,1,0,16,57,15,19,25,10,19,1,5,30,12,15,66,51,102,105,128,191,124,144,116,254,246,86,171,714,4008,6364,2655,3912,8887,6854,6546,13695,13185,9265,1126
TU,4397,5281,6377,5898,7325,6072,6841,6165,6696,7936,7090,8436,17140,15048,18367,18667,25529,49429,68878,80281,100619,70962,62300,55112,81606,64816,47020,72494,160550,165881,231377,239299,363470,357389,342905,540422,869953,1109667,721454,112137
JA,6500,8251,9965,8170,11972,9410,12893,14306,13644,13590,14024,16773,23157,19297,21634,24815,36223,54553,73337,72922,77417,90989,107138,72917,110362,88154,61607,94198,160561,157982,256149,250022,344801,297671,304183,408988,591646,629081,569935,66707
RP,1551,2108,3874,3451,8081,9422,10649,28123,20642,13945,10471,10420,12066,9305,8210,12148,21296,26139,27855,26807,29944,71739,60284,47910,56611,34069,24551,31877,105518,158729,324447,230788,280733,293240,347835,503208,676735,834991,791845,86553
HK,244,123,256,325,335,836,472,505,544,848,1417,1329,2021,1817,2033,2711,3325,9918,20383,12485,9663,7349,8433,6603,11396,8467,6441,8348,13961,16005,21311,26375,24179,25052,35161,80432,72307,88707,70498,9542
